req_id,picture_id,item_code,module_id,module,layer_id,position,item_width,facing,item_type,vert_facing,module_width
20347,20347_23,100020980,2,B,5,351.0,96.0,1,item,1,1000
20347,20347_23,100020981,2,B,5,454.0,96.0,1,item,1,1000
20347,20347_23,100010078,5,E,3,693.0,92.0,1,item,1,1000
20347,20347_23,100020156,5,E,3,593.0,92.0,1,item,1,1000
20347,20347_23,100020159,5,E,3,493.0,92.0,1,item,1,1000
20347,20347_23,100178701,5,E,3,793.0,92.0,1,item,1,1000
20347,20347_23,101148119,5,E,1,504.0,62.0,1,item,1,1000
20347,20347_23,101367839,5,E,1,674.0,90.0,1,item,1,1000
20347,20347_23,101367840,5,E,1,773.0,76.0,1,item,1,1000
20347,20347_23,101368026,5,E,1,575.0,90.0,1,item,1,1000
20347,20347_23,101368027,5,E,1,858.0,76.0,1,item,1,1000
20347,20347_23,101432325,5,E,2,667.0,76.0,1,item,1,1000
20347,20347_23,101432328,5,E,2,571.0,90.0,1,item,1,1000
20347,20347_23,101459428,5,E,2,495.0,70.0,1,item,1,1000
20347,20347_23,101472679,5,E,2,749.0,161.0,1,item,1,1000
20347,20347_23,100018642,5,E,2,297.0,93.0,1,item,1,1000
20347,20347_23,100018653,5,E,3,237.0,93.0,1,item,1,1000
20347,20347_23,100020872,5,E,3,338.0,93.0,1,item,1,1000
20347,20347_23,100051365,5,E,2,396.0,93.0,1,item,1,1000
20347,20347_23,100051381,5,E,5,274.0,93.0,1,item,1,1000
20347,20347_23,100051382,5,E,5,0.0,93.0,1,item,1,1000
20347,20347_23,100236304,5,E,5,378.0,99.0,1,item,1,1000
20347,20347_23,100327014,5,E,4,0.0,99.0,1,item,1,1000
20347,20347_23,100609913,5,E,4,272.0,77.0,1,item,1,1000
20347,20347_23,100609915,5,E,3,0.0,77.0,1,item,1,1000
20347,20347_23,101024811,5,E,3,160.0,69.0,1,item,1,1000
20347,20347_23,101024812,5,E,2,73.0,69.0,1,item,1,1000
20347,20347_23,101045226,5,E,3,85.0,67.0,1,item,1,1000
20347,20347_23,101377243,5,E,4,192.0,67.0,1,item,1,1000
20347,20347_23,101398646,5,E,5,185.0,78.0,1,item,1,1000
20347,20347_23,101412641,5,E,2,221.0,70.0,1,item,1,1000
20347,20347_23,101412643,5,E,2,148.0,67.0,1,item,1,1000
20347,20347_23,101432322,5,E,4,112.0,67.0,1,item,1,1000
20347,20347_23,101445024,5,E,4,362.0,131.0,1,item,1,1000
20347,20347_23,101467748,5,E,5,104.0,70.0,1,item,1,1000
20347,20347_23,100020873,3,C,3,469.0,44.0,1,item,1,1000
20347,20347_23,101024122,3,C,2,798.0,85.0,1,item,1,1000
20347,20347_23,101024124,3,C,2,895.0,85.0,1,item,1,1000
20347,20347_23,101140938,3,C,2,701.0,85.0,1,item,1,1000
20347,20347_23,101143521,3,C,3,96.0,85.0,1,item,1,1000
20347,20347_23,101143524,3,C,3,192.0,74.0,1,item,1,1000
20347,20347_23,101226412,3,C,3,373.0,85.0,1,item,1,1000
20347,20347_23,101226419,3,C,3,620.0,74.0,1,item,1,1000
20347,20347_23,101226420,3,C,3,277.0,85.0,1,item,1,1000
20347,20347_23,101226423,3,C,2,382.0,95.0,1,item,1,1000
20347,20347_23,101226424,3,C,3,891.0,95.0,1,item,1,1000
20347,20347_23,101226436,3,C,3,705.0,85.0,1,item,1,1000
20347,20347_23,101226440,3,C,3,524.0,85.0,1,item,1,1000
20347,20347_23,101226511,3,C,2,285.0,85.0,1,item,1,1000
20347,20347_23,101226515,3,C,2,188.0,85.0,1,item,1,1000
20347,20347_23,101243812,3,C,2,0.0,79.0,1,item,1,1000
20347,20347_23,101243823,3,C,3,801.0,79.0,1,item,1,1000
20347,20347_23,101397732,3,C,2,91.0,85.0,1,item,1,1000
20347,20347_23,101428527,3,C,3,0.0,85.0,1,item,1,1000
20347,20347_23,100051023,3,C,5,601.0,98.0,1,item,1,1000
20347,20347_23,100051024,3,C,4,503.0,98.0,1,item,1,1000
20347,20347_23,100051029,3,C,4,770.0,98.0,1,item,1,1000
20347,20347_23,100051031,3,C,5,493.0,98.0,1,item,1,1000
20347,20347_23,100051044,3,C,5,709.0,98.0,1,item,1,1000
20347,20347_23,100051045,3,C,4,882.0,98.0,1,item,1,1000
20347,20347_23,100066922,3,C,5,817.0,95.0,1,item,1,1000
20347,20347_23,100784503,3,C,4,615.0,67.0,1,item,1,1000
20347,20347_23,100917208,3,C,4,696.0,60.0,1,item,1,1000
20347,20347_23,100210469,3,C,4,259.0,78.0,1,item,1,1000
20347,20347_23,100210470,3,C,4,351.0,78.0,1,item,1,1000
20347,20347_23,100307006,3,C,5,55.0,78.0,1,item,1,1000
20347,20347_23,100413603,3,C,5,245.0,130.0,1,item,1,1000
20347,20347_23,100618503,3,C,4,168.0,77.0,1,item,1,1000
20347,20347_23,101371457,3,C,5,143.0,92.0,1,item,1,1000
20347,20347_23,100273902,4,D,5,104.0,93.0,1,item,1,1000
20347,20347_23,100274002,4,D,5,208.0,93.0,1,item,1,1000
20347,20347_23,100568106,4,D,5,0.0,93.0,1,item,1,1000
20347,20347_23,101371446,4,D,5,312.0,94.0,1,item,1,1000
20347,20347_23,101431925,4,D,5,417.0,93.0,1,item,1,1000
20347,20347_23,100322106,4,D,2,75.0,92.0,1,item,1,1000
20347,20347_23,100328903,4,D,2,179.0,92.0,1,item,1,1000
20347,20347_23,100393405,4,D,2,387.0,96.0,1,item,1,1000
20347,20347_23,100450205,4,D,4,817.0,96.0,1,item,1,1000
20347,20347_23,100450414,4,D,4,514.0,92.0,1,item,1,1000
20347,20347_23,100468203,4,D,4,615.0,92.0,1,item,1,1000
20347,20347_23,100495403,4,D,4,195.0,100.0,1,item,1,1000
20347,20347_23,100537103,4,D,4,413.0,92.0,1,item,1,1000
20347,20347_23,100579004,4,D,4,304.0,100.0,1,item,1,1000
20347,20347_23,100619206,4,D,2,283.0,92.0,1,item,1,1000
20347,20347_23,100619214,4,D,4,716.0,92.0,1,item,1,1000
20347,20347_23,100872813,4,D,2,579.0,67.0,1,item,1,1000
20347,20347_23,100872909,4,D,2,742.0,67.0,1,item,1,1000
20347,20347_23,101140948,4,D,2,658.0,72.0,1,item,1,1000
20347,20347_23,101140949,4,D,2,495.0,72.0,1,item,1,1000
20347,20347_23,101142114,4,D,3,583.0,67.0,1,item,1,1000
